nombre,precio_bs,precio_usd,precio_raw,categoria_emporium,search_term,url,bcv_rate,scraped_at
BANDEJA CEBOLLA !300! GR,155.18,0.3857,Bs.155.18,08FRUV,cebolla,https://www.plansuarez.com/index.php?route=product/product&product_id=28877&search=cebolla,402.3343,2026-02-21T14:20:59.340544
BANDEJA CEBOLLA MORADA !500! G,632.24,1.5714,Bs.632.24,08FRUV,cebolla,https://www.plansuarez.com/index.php?route=product/product&product_id=3544&search=cebolla,402.3343,2026-02-21T14:20:59.364767
CASABITO YUNE 80GR CEBOLLA,793.16,1.9714,Bs.793.16,08FRUV,cebolla,https://www.plansuarez.com/index.php?route=product/product&product_id=8843&search=cebolla,402.3343,2026-02-21T14:20:59.382715
CEBOLLA BADIA 77.96GR EN POLVO,2081.26,5.173,"Bs.2,081.26",08FRUV,cebolla,https://www.plansuarez.com/index.php?route=product/product&product_id=15877&search=cebolla,402.3343,2026-02-21T14:20:59.401112
CEBOLLA BADIA 7796GR POLVO,2081.26,5.173,"Bs.2,081.26",08FRUV,cebolla,https://www.plansuarez.com/index.php?route=product/product&product_id=11034&search=cebolla,402.3343,2026-02-21T14:20:59.421787
CEBOLLA CEBOFRITAS 130GR CRISPY,2763.75,6.8693,"Bs.2,763.75",08FRUV,cebolla,https://www.plansuarez.com/index.php?route=product/product&product_id=29764&search=cebolla,402.3343,2026-02-21T14:20:59.440411
CEBOLLA INDIAN 55GR POLVO,1198.8,2.9796,"Bs.1,198.80",08FRUV,cebolla,https://www.plansuarez.com/index.php?route=product/product&product_id=12870&search=cebolla,402.3343,2026-02-21T14:20:59.461141
CEBOLLA MCCORMICK 75GR MOLIDA,1774.5,4.4105,"Bs.1,774.50",08FRUV,cebolla,https://www.plansuarez.com/index.php?route=product/product&product_id=4611&search=cebolla,402.3343,2026-02-21T14:20:59.478437
CHAMPU BABARIA CEBOLLA 700ML,6409.45,15.9307,"Bs.6,409.45",08FRUV,cebolla,https://www.plansuarez.com/index.php?route=product/product&product_id=8876&search=cebolla,402.3343,2026-02-21T14:20:59.497534
MASCARILLA BABARIA 400GR CEBOLLA,6409.45,15.9307,"Bs.6,409.45",08FRUV,cebolla,https://www.plansuarez.com/index.php?route=product/product&product_id=16336&search=cebolla,402.3343,2026-02-21T14:20:59.517176
PAN FRITO ARABE ARABITO 160GRS CON CEBOLLA,2671.9,6.641,"Bs.2,671.90",08FRUV,cebolla,https://www.plansuarez.com/index.php?route=product/product&product_id=28920&search=cebolla,402.3343,2026-02-21T14:20:59.539323
ACEITE KALDINI 250ML AGUACATE,6490.36,16.1318,"Bs.6,490.36",08FRUV,aguacate,https://www.plansuarez.com/index.php?route=product/product&product_id=31708&search=aguacate,402.3343,2026-02-21T14:21:06.062888
BANDEJA AGUACATE !600! GR,1190.91,2.96,"Bs.1,190.91",08FRUV,aguacate,https://www.plansuarez.com/index.php?route=product/product&product_id=9298&search=aguacate,402.3343,2026-02-21T14:21:06.111651
ATOL NANA 225GR CAMBUR VERDE ARROZ Y PAPELON,1306.79,3.248,"Bs.1,306.79",08FRUV,cambur,https://www.plansuarez.com/index.php?route=product/product&product_id=34113&search=cambur,402.3343,2026-02-21T14:21:12.651715
CAMBUR X KG,482.8,1.2,Bs.482.80,08FRUV,cambur,https://www.plansuarez.com/index.php?route=product/product&product_id=5459&search=cambur,402.3343,2026-02-21T14:21:12.711508
COLADO COTOPERI 110GR CAMBUR,396.23,0.9848,Bs.396.23,08FRUV,cambur,https://www.plansuarez.com/index.php?route=product/product&product_id=35100&search=cambur,402.3343,2026-02-21T14:21:12.740305
COLADO COTOPERI 110GR CAMBUR FRESA,396.23,0.9848,Bs.396.23,08FRUV,cambur,https://www.plansuarez.com/index.php?route=product/product&product_id=35104&search=cambur,402.3343,2026-02-21T14:21:12.765379
HARINA HARINANA 500GR CAMBUR VERDE,1659.63,4.125,"Bs.1,659.63",08FRUV,cambur,https://www.plansuarez.com/index.php?route=product/product&product_id=26960&search=cambur,402.3343,2026-02-21T14:21:12.797495
YOGURT MIGURT 125GR CAMBUR,696.94,1.7322,Bs.696.94,08FRUV,cambur,https://www.plansuarez.com/index.php?route=product/product&product_id=27176&search=cambur,402.3343,2026-02-21T14:21:12.833756
BANDEJA ZANAHORIA !500! GR,339.11,0.8429,Bs.339.11,08FRUV,zanahoria,https://www.plansuarez.com/index.php?route=product/product&product_id=3529&search=zanahoria,402.3343,2026-02-21T14:21:19.865620
JUGO SANTAL 15LT ACT.NARANJA/ZANAHORIA,2476.66,6.1557,"Bs.2,476.66",08FRUV,zanahoria,https://www.plansuarez.com/index.php?route=product/product&product_id=4416&search=zanahoria,402.3343,2026-02-21T14:21:19.884146
MEZCLA DE TORTA TIGO 400GR ZANAHORIA,793.41,1.972,Bs.793.41,08FRUV,zanahoria,https://www.plansuarez.com/index.php?route=product/product&product_id=20562&search=zanahoria,402.3343,2026-02-21T14:21:19.904698
PAN SANDWICH PURO Y SIMPLE 500GR ZANAHORIA Y MIEL,2061.96,5.125,"Bs.2,061.96",08FRUV,zanahoria,https://www.plansuarez.com/index.php?route=product/product&product_id=9697&search=zanahoria,402.3343,2026-02-21T14:21:19.925193
PATE PURINA 5.5OZ POLLO Y ZANAHORIA CAT ADULT,1468.26,3.6494,"Bs.1,468.26",08FRUV,zanahoria,https://www.plansuarez.com/index.php?route=product/product&product_id=34054&search=zanahoria,402.3343,2026-02-21T14:21:19.945157
ZANAHORIA BEBE FINCA DOS AGUAS 250GR,1810.5,4.5,"Bs.1,810.50",08FRUV,zanahoria,https://www.plansuarez.com/index.php?route=product/product&product_id=21651&search=zanahoria,402.3343,2026-02-21T14:21:19.964558
LAVAPLATOS JOSOL 800ML LIMON,1288.25,3.2019,"Bs.1,288.25",08FRUV,limon,https://www.plansuarez.com/index.php?route=product/product&product_id=24208&search=limon,402.3343,2026-02-21T14:21:26.609055
AGUA CANAIMA 600ML SABORIZADA LIMON,340.51,0.8463,Bs.340.51,08FRUV,limon,https://www.plansuarez.com/index.php?route=product/product&product_id=6837&search=limon,402.3343,2026-02-21T14:21:26.627158
AGUA GASIF MIBRISA 500ML LIMON,367.16,0.9126,Bs.367.16,08FRUV,limon,https://www.plansuarez.com/index.php?route=product/product&product_id=10856&search=limon,402.3343,2026-02-21T14:21:26.647804
AGUA GASIF PETRICHOR 355ML LIMON SICILIANO,597.39,1.4848,Bs.597.39,08FRUV,limon,https://www.plansuarez.com/index.php?route=product/product&product_id=30182&search=limon,402.3343,2026-02-21T14:21:26.665866
ALIVET LIMON 500MG/2MG/10G X 6 SOBRES LETI,3250.86,8.08,"Bs.3,250.86",08FRUV,limon,https://www.plansuarez.com/index.php?route=product/product&product_id=18463&search=limon,402.3343,2026-02-21T14:21:26.685265
ARENA P/GATOS NEO CLEAN 415GR LIMON,3249.22,8.0759,"Bs.3,249.22",08FRUV,limon,https://www.plansuarez.com/index.php?route=product/product&product_id=35253&search=limon,402.3343,2026-02-21T14:21:26.703894
